Date,Location,State/Region,Accident_Type,Fatalities,Injuries,Cause,Train_Involved
01-16-1993,Ambiyapur,Uttar Pradesh,Collision,Not specified,Not specified,Not specified,Howrah Rajdhani Express
07-16-1993,Darbhanga district,Bihar,Not specified,60,Not specified,Not specified,Not specified
09-21-1993,Chhabra,Rajasthan,Collision,71,Not specified,Not specified,Not specified
05-03-1994,Nalgonda district,Andhra Pradesh,Level crossing accident,35,Not specified,Collision with tractor,Narayanadri Express
10-26-1994,Not specified,Not specified,Fire,27,Not specified,Not specified,Howrah Mumbai Mail
05-14-1995,Salem,Not specified,Collision,52,Not specified,Head-on collision with freight train,Kanyakumari Express
06-01-1995,Not specified,Not specified,Collision,45,335,Collision with stationary freight train,Kolkata–Jammu Tawi Express
06-01-1995,Barpali,Orissa,Derailment,15,Not specified,Not specified,Hirakud Express
08-20-1995,Firozabad,Uttar Pradesh,Collision,358,Not specified,Rear-end collision,Purushottam Express and Kalindi Express
04-18-1996,Domingarh,Uttar Pradesh,Collision,60,Not specified,Collision with stationary freight train,Not specified
05-14-1996,Alappuzha,Kerala,Level crossing accident,35,Not specified,Collision with bus,Not specified
05-25-1996,Varanasi,Uttar Pradesh,Level crossing accident,25,Not specified,Collision with tractor-trolley,Not specified
12-30-1996,Between Kokrajhar and Fakiragram,Assam,Bombing,33,Not specified,Sabotage,Brahmaputra Mail
07-08-1997,Khanna,Punjab,Bombing,33,Not specified,Sabotage,Not specified
07-28-1997,Delhi,Not specified,Collision,12,Not specified,Not specified,Karnataka Express and Himsagar Express
08-15-1997,Visakhapatnam,Andhra Pradesh,Collision,75,Not specified,Not specified,Coromandel Express
09-14-1997,Bilaspur district,Madhya Pradesh,Derailment,81,Not specified,Train plunged into river,Ahmedabad–Howrah Express
12-06-1997,Multiple locations,Tamil Nadu and Kerala,Bombing,10,64,Serial bomb blasts,Cheran Express and  Pandian Express and Chennai-Alleppey Express
01-06-1998,Hardoi,Uttar Pradesh,Collision,70,Not specified,Collision with stationary train,Kashi Vishwanath Express
04-04-1998,Fatuha,Bihar,Derailment,11,50,Sabotage,Howrah–Danapur Express
04-24-1998,Parli Vaijnath,Maharashtra,Collision,24,32,Not specified,Manmad–Kachiguda Express
08-13-1998,Karur,Tamil Nadu,Level crossing accident,19,27,Collision with bus,Madurai–Chennai Egmore Express
09-24-1998,Bothalapalem,Andhra Pradesh,Level crossing accident,20,33,Collision with bus,Not specified
11-26-1998,Khanna,Punjab,Collision,212,Not specified,Collision with derailed coaches,Sealdah–Jammu Tawi Express and Golden Temple Mail
06-04-1999,Kazipet,Andhra Pradesh,Derailment,12,60,Not specified,Hyderabad–Visakhapatnam Godavari Express
07-16-1999,Between Agra and Mathura,Uttar Pradesh,Collision,17,200,Collision with derailed freight train,Grand Trunk Express
08-02-1999,Gaisal,Assam,Collision,285,300,Not specified,Brahmaputra Mail and Avadh Assam Express
08-15-1999,Dusi,Andhra Pradesh,Derailment,50,500,Not specified,Coromandel Express
12-06-1999,Jenapur,Orissa,Derailment,20,100,Tracks damaged by cyclone,Coromandel Express
06-06-2000,Kasganj,Uttar Pradesh,Derailment,1,24,Not specified,Not specified
07-01-2000,Ambala,Punjab,Collision,2,Not specified,Not specified,Howrah-Amritsar Express
12-02-2000,Between Ambala and Ludhiana,Punjab,Collision,40,150,Collision with derailed freight train,Amritsar Mail
06-22-2001,Kadalundi,Kerala,Derailment,52,300,Bridge accident,Mangalore-Chennai Mail
08-16-2001,Jalgaon district,Maharashtra,Runover,15,Not specified,People crossing tracks,Not specified
08-23-2001,Not specified,Not specified,Level crossing accident,11,Not specified,Collision with mini-van,Ravi Express
02-27-1902,Godhra,Gujarat,Fire,59,43,Arson,Sabarmati Express
05-13-1902,Jaunpur,Uttar Pradesh,Derailment,12,80,Track sabotage,Shramjeevi Express
06-04-1902,Kasganj,Uttar Pradesh,Level crossing accident,30,29,Collision with bus,Kanpur Central–Kasganj Express
09-09-1902,Between Gaya and Dehri-on-Sone,Bihar,Derailment,140,Not specified,Suspected sabotage by Naxalites,Howrah Rajdhani Express
01-05-1903,Ghatnandur,Maharashtra,Collision,21,41,Collision with stationary freight train,Not specified
03-23-1903,Narsinghpur,Madhya Pradesh,Derailment,0,7,Not specified,Lokmanya Tilak Terminus–Patliputra Express
05-15-1903,Between Ludhiana and Ladhowal,Punjab,Fire,36,15,Not specified,Golden Temple Mail
06-22-2003,Sindhudurg district,Maharashtra,Derailment,52,26,Not specified,Special train between Karwar and Mumbai Central
07-02-2003,Warangal,Andhra Pradesh,Derailment,21,24,Bridge accident,Golconda Express
02-27-2004,Kanki,West Bengal,Level crossing accident,30,Not specified,Collision with truck,Sealdah - New Jalpaiguri Kanchenjunga Express
06-16-2004,Ambawadi,Maharashtra,Derailment,14,Not specified,Struck boulder,Matsyagandha Express
12-14-2004,Hoshiarpur,Punjab,Collision,37,50,Signalling issues,Ahmedabad–Jammu Tawi Express
07-28-2005,Jaunpur,Uttar Pradesh,Bombing,13,50,Sabotage,Shramjeevi Express
10-03-2005,Datia,Madhya Pradesh,Derailment,16,60,Overshot turn,Bundelkhand Express
10-25-2005,Kamasamudram,Karnataka,Derailment,0,0,Not specified,Island Express
10-29-2005,Valigonda,Andhra Pradesh,Derailment,114,200,Bridge washed away by flash floods,Delta Fast Passenger
07-11-2006,Mumbai,Not specified,Bombing,209,700,Terrorist attack,Multiple commuter trains
11-20-2006,Belacoba,West Bengal,Bombing,7,53,Sabotage,Not specified
12-01-2006,Not specified,Bihar,Bridge collapse,35,17,Old bridge fell on passing train,Howrah–Jamalpur Express
02-18-2007,Diwana,Haryana,Bombing,68,Not specified,Terrorist attack,Samjhauta Express
08-07-2007,Kanpur,Uttar Pradesh,Derailment,0,32,Not specified,Howrah–Jodhpur Express
08-01-2008,Kesamudram,Andhra Pradesh,Fire,40,Not specified,Not specified,Gowthami Express
02-13-2009,Jajpur,Orissa,Fire,15,Not specified,Not specified,Coromandel Express
04-29-2009,Vyasarpadi Jeeva,Chennai,Collision,4,Not specified,Hijacked train,Local EMU train
10-20-2009,Mathura,Uttar Pradesh,Collision,21,Several,Faulty signal,Goa Express and Mewar Express
01-02-2010,Panki,Uttar Pradesh,Collision,10,51,Dense fog,Gorakhdham Express and Prayagraj Express
01-02-2010,Etawah,Uttar Pradesh,Collision,Not specified,Not specified,Dense fog,Lichchavi Express and Magadh Express
01-02-2010,Pratapgarh,Uttar Pradesh,Level crossing accident,0,0,Dense fog,Saryu Express
05-28-2010,Khanna,West Bengal,Sabotage,148,200,Suspected Maoist sabotage,Gyaneshwari Express
08-30-2010,Bhusaval,Maharashtra,Collision,1,51,Not specified,Not specified
05-22-2011,Fatehpur,Uttar Pradesh,Derailment,71,102,Not specified,Kalka Mail
07-10-2011,Malda district,West Bengal,Derailment,3,200,Not specified,Guwahati-Bengaluru Express
07-19-2011,Arakkonam,Tamil Nadu,Collision,10,72,Signal passed at danger,Suburban trains
09-12-2011,Sitheri,Tamil Nadu,Level crossing accident,10,23,Not specified,Local passenger train
05-22-2012,Penukonda,Andhra Pradesh,Collision,25,16,Driver error,Bengaluru-bound Hampi Express
11-26-2013,Raigad,Maharashtra,Derailment,2,30,Not specified,Diva-Sawantwadi passenger train
12-28-2013,Between Katni and Sihora stations,Madhya Pradesh,Fire,26,Not specified,Electrical fire in coach,Nanded–Bangalore Express
05-04-2014,Kasara,Maharashtra,Derailment,20,123,Not specified,Diwa-Sawantwadi passenger train
05-26-2014,Gorakhpur,Uttar Pradesh,Collision,24,50,Not specified,Gorakhdam Express
02-13-2015,Between Bengaluru City station and Hindupur,Karnataka,Fire,9,Not specified,Not specified,Bangalore–Nanded Express
02-24-2015,Medak district,Telangana,Level crossing accident,15,Not specified,Not specified,Passenger train
03-20-2015,Uttar Pradesh,Not specified,Derailment,38,150,Brake failure,Dehradun–Varanasi Janata Express
05-25-2015,Harda,Madhya Pradesh,Derailment and collision,31,100,Rail track washout,Two trains
11-20-2016,Kanpur Dehat district,Uttar Pradesh,Derailment,142,260,Not specified,Indore-Patna Express
01-21-2017,Kuneru,Andhra Pradesh,Derailment,41,68,Not specified,Jagdalpur–Bhubaneswar Hirakhand Express
08-19-2017,Muzaffarnagar,Uttar Pradesh,Derailment,23,150,Not specified,Kalinga Utkal Express
08-23-2017,Auraiya,Uttar Pradesh,Derailment,0,74,Not specified,Kaifiyat Express
10-10-2018,Amritsar,Punjab,Level crossing accident,58,57,Not specified,DMU passenger train
01-03-2019,Nalanda,Bihar,Derailment,3,7,Not specified,Howrah-Delhi Poorva Express
02-21-2020,between Sadar and Bhelwadi,Prayagraj-Lokmanya Tilak Terminus,Derailment,1,25,Track fracture,Mumbai-Gorakhpur Godan Express
05-16-2022,Roha,Raigad district,Derailment,0,0,Landslide,Mangaluru Junction–Chennai Central Express
01-13-2023,Domohani railway station,Jalpaiguri district,Derailment,9,36,Technical fault,Bikaner–Guwahati Express
06-02-2023,Near Bahanaga Bazar,Balasore district,Collision,300,1200,Possible signal failure,Multiple trains
